pheno,dataset,seed,leakage_type,r,q2,r_yp
mr,abcd,49.0,leak_covars,0.2405485598545625,0.05441746788267743,0.9945508172015118
mr,abcd,93.0,leak_covars,0.24698742258826892,0.05832128099408085,0.9949675364673841
attn,pnc,8.0,leak_covars,-0.02731174446250991,-0.16564459118424524,0.9672110143340241
age,hcpd,35.0,leak_covars,0.7878944352002297,0.6153486304930565,0.9957668651070363
mr,pnc,5.0,leak_covars,0.2630801405103425,0.038661344210644266,0.9851458871506081
attn,hcpd,61.0,leak_covars,-0.0010941967928852644,-0.11803014508099596,0.9460123828841529
attn,hbn,64.0,leak_covars,-0.03091461490203974,-0.1790007292309168,0.9735722767701981
mr,hbn,44.0,leak_covars,0.26239088373244845,0.039342302951842156,0.9381464518118574
attn,hbn,76.0,leak_covars,-0.0067387795098537455,-0.16961267188001572,0.9749552632259054
attn,hbn,89.0,leak_covars,-0.05461775609573186,-0.20077317742479361,0.9719146355754548
mr,abcd,99.0,leak_covars,0.25206793053293325,0.06124784811513806,0.9951734163584395
age,hcpd,46.0,leak_covars,0.7927960702913158,0.6228627133492575,0.9962227215193838
mr,hcpd,45.0,leak_covars,0.20924382678167158,-0.005881407868504107,0.9606228990553934
age,abcd,88.0,leak_covars,0.2304389028519951,0.029508623234171916,0.9640803825059757
age,pnc,98.0,leak_covars,0.6268344324766146,0.3898990002989414,0.9979784080944443
mr,hbn,75.0,leak_covars,0.24316838586569003,0.018788854662467158,0.9163866898702177
mr,hcpd,74.0,leak_covars,0.23591831273895836,0.019551963081516965,0.9641864313429391
attn,abcd,4.0,leak_covars,0.12232435163125575,-0.0869744474937193,0.9881265235886352
mr,abcd,53.0,leak_covars,0.2432361937534174,0.055947939598448015,0.9945585981177316
mr,hcpd,90.0,leak_covars,0.28801004651309553,0.0666288831733941,0.9579038669425354
age,abcd,68.0,leak_covars,0.24145743487472324,0.030002731427566487,0.9967028384648223
mr,pnc,52.0,leak_covars,0.24608501687011733,0.029415570857080464,0.9859773319229461
attn,hcpd,38.0,leak_covars,-0.02385197130120459,-0.14238271302105243,0.9577152286808562
attn,pnc,71.0,leak_covars,-0.02333635157923145,-0.15626140090466656,0.9704522073838389
mr,hbn,96.0,leak_covars,0.25527918228852936,0.029973527323125304,0.9469580402877604
age,hcpd,4.0,leak_covars,0.7864333207866671,0.6143452953500899,0.995470000979182
attn,pnc,43.0,leak_covars,-0.02699564453298351,-0.17090830135253232,0.9700825304873957
age,abcd,12.0,leak_covars,0.24317344034453578,0.038601307650993566,0.9971950206430724
mr,hbn,93.0,leak_covars,0.2519235441899772,0.02537413369684971,0.945872235047674
attn,hcpd,41.0,leak_covars,-0.016484777346398184,-0.1358384358770257,0.954168878344931
mr,abcd,62.0,leak_covars,0.24421220142350425,0.05656478437468537,0.9945782507877093
attn,hcpd,19.0,leak_covars,-0.01143333089353678,-0.12350093597564094,0.9453747061219703
attn,abcd,61.0,leak_covars,0.09225155339882722,-0.08785077415579479,0.983855243778202
attn,hcpd,13.0,leak_covars,-0.04902389940054775,-0.16400956738439376,0.9540785620933401
attn,abcd,57.0,leak_covars,0.11550107146399004,-0.09053716405273482,0.9886495837043792
age,hbn,78.0,leak_covars,0.7474238876072226,0.5537498118840802,0.9972316265696617
mr,abcd,15.0,leak_covars,0.24983536146688712,0.05987692135426759,0.994591788466134
mr,hcpd,91.0,leak_covars,0.23878695179428072,0.022208070019617998,0.9576204449279966
mr,pnc,95.0,leak_covars,0.22254357761598345,0.009477960695238097,0.98303914834925
mr,abcd,84.0,leak_covars,0.2562334678763767,0.06337259104559256,0.9946378105671785
mr,hcpd,38.0,leak_covars,0.24507839411943785,0.024842685832904943,0.9587437411576456
age,pnc,47.0,leak_covars,0.6287766566795993,0.39230441808080674,0.9980129733904894
mr,hbn,72.0,leak_covars,0.25977060159500787,0.033189264975649446,0.9516244242671255
age,hcpd,82.0,leak_covars,0.7878984607472843,0.6148810228563679,0.9958108617968217
attn,abcd,51.0,leak_covars,0.11712876194551076,-0.09136186514581679,0.9887223049542945
attn,hbn,91.0,leak_covars,0.02369637422153189,-0.1433923458815507,0.9729224772700823
mr,abcd,28.0,leak_covars,0.2512127442493101,0.06045844745404394,0.9949608690707644
mr,abcd,76.0,leak_covars,0.25018145272990255,0.05997625557698616,0.9946710484058038
age,abcd,86.0,leak_covars,0.23577482528566424,0.025704278976707795,0.9964968858031679
attn,hcpd,72.0,leak_covars,-0.04833101519488577,-0.16428835263956487,0.9479116161207445
age,abcd,35.0,leak_covars,0.25028898067849975,0.037899778143147045,0.9614921354053325
attn,hbn,51.0,leak_covars,0.023197032407167067,-0.13840191604280494,0.9699627118642614
attn,pnc,75.0,leak_covars,-0.022308781197321367,-0.16911781008430604,0.9682636341957954
mr,hcpd,19.0,leak_covars,0.2836549814334626,0.05925758413690718,0.9638769119987372
mr,hcpd,20.0,leak_covars,0.28339441065448306,0.06082779080197798,0.9598937080737835
attn,hbn,41.0,leak_covars,-0.002077527115873386,-0.1563331551938496,0.9750213396522756
mr,pnc,24.0,leak_covars,0.24053250581396984,0.01933331647819081,0.9846712533621899
age,hbn,24.0,leak_covars,0.7467243833294682,0.5522272014655567,0.9976382769510421
mr,pnc,29.0,leak_covars,0.24527812047211656,0.025996728913059264,0.983000640549696
mr,abcd,63.0,leak_covars,0.24000020631576355,0.05431163372345549,0.9945216655560155
attn,hbn,94.0,leak_covars,-0.007840575485844728,-0.1651939964581235,0.9753064398836607
attn,pnc,83.0,leak_covars,-0.020861464107593403,-0.16854970698223815,0.96864660552875
mr,hbn,62.0,leak_covars,0.24023395591979427,0.014957715109304215,0.9531204829683377
age,pnc,21.0,leak_covars,0.6330451257381926,0.3975384977720857,0.9973979813475065
mr,hbn,4.0,leak_covars,0.23778580143510814,0.015163284908663255,0.9221013377132068
attn,pnc,20.0,leak_covars,0.0007155671360231039,-0.13765576686155256,0.9630736089165474
age,abcd,95.0,leak_covars,0.22411965768844683,0.025174897289419906,0.9967194627053287
age,hbn,7.0,leak_covars,0.7438637115385296,0.5485457783690362,0.9973985751459751
age,hcpd,90.0,leak_covars,0.7916647347253915,0.6206252185275732,0.9951343799393138
mr,hcpd,25.0,leak_covars,0.24136669766090516,0.027740242400120407,0.9604681376892701
mr,hbn,54.0,leak_covars,0.24619162866451857,0.022625987372759893,0.9487244245920082
age,hcpd,75.0,leak_covars,0.782838486427809,0.6088670049742593,0.9956371902907759
age,abcd,53.0,leak_covars,0.23539457270630237,0.017790657902268525,0.9964886817497594
mr,hbn,85.0,leak_covars,0.24744406762623408,0.016500998462864458,0.9478889420726957
attn,pnc,47.0,leak_covars,0.02547752016933664,-0.13070386981329074,0.9687536714249004
attn,abcd,13.0,leak_covars,0.12481946562704374,-0.08564672821350561,0.988648137181749
mr,abcd,21.0,leak_covars,0.2434782966053545,0.05648413728946211,0.9949776327154499
mr,hbn,26.0,leak_covars,0.26022071573903827,0.03542855969545888,0.9184718230754119
age,hcpd,14.0,leak_covars,0.7843649497744236,0.611770064943606,0.9957839210040748
age,hcpd,61.0,leak_covars,0.7868653757814522,0.6144224355114001,0.9956745566581625
age,hbn,88.0,leak_covars,0.7480119133253463,0.553704755326279,0.9972712432836288
mr,hcpd,44.0,leak_covars,0.27809712884820376,0.05746600904786492,0.9645127872257944
mr,pnc,54.0,leak_covars,0.2694178220456214,0.046112202718173845,0.9859523871892982
age,hbn,93.0,leak_covars,0.7439479969599355,0.5479569160088955,0.9974540365173903
attn,abcd,86.0,leak_covars,0.12491252389903013,-0.08792095604802674,0.9884264584379646
age,hcpd,85.0,leak_covars,0.7904376201695353,0.6191090214522954,0.9949942453237034
mr,hcpd,65.0,leak_covars,0.2706516428825019,0.05030759417302255,0.9555816422365498
mr,hcpd,68.0,leak_covars,0.2830756272895537,0.0628300570162934,0.9604535627422287
mr,hbn,70.0,leak_covars,0.25289162351019695,0.028249609507392415,0.9423393298892654
attn,pnc,0.0,leak_covars,-0.01228351621870999,-0.15427203900929376,0.9707913060542716
age,hcpd,71.0,leak_covars,0.7901879393447856,0.6179662580902067,0.9952322557948173
age,hbn,55.0,leak_covars,0.7528736901013215,0.5607043457279774,0.9970793196477546
attn,hbn,48.0,leak_covars,-0.015698784485856196,-0.1736756869573861,0.9728951555194169
age,pnc,84.0,leak_covars,0.6244483859299974,0.387810516144948,0.9976159725940705
age,hbn,12.0,leak_covars,0.7459180566180974,0.551293424041617,0.9974237673279097
age,hbn,16.0,leak_covars,0.7450384870793241,0.5499692269224119,0.9972692547495899
attn,hbn,93.0,leak_covars,-0.021096814500182557,-0.16993385535799432,0.9718329190341145
attn,abcd,44.0,leak_covars,0.11112396254928555,-0.09309176474149927,0.9891393047768342
attn,pnc,13.0,leak_covars,-0.039258702694016975,-0.17901318087206142,0.9692607205864135
attn,hbn,50.0,leak_covars,-0.012090493397890095,-0.17217203114687107,0.9747172507698093
mr,hcpd,15.0,leak_covars,0.24813094560001606,0.03238411331993707,0.9593536430267651
attn,pnc,57.0,leak_covars,0.00833632355725856,-0.14004730991887504,0.9707608384451468
mr,hcpd,98.0,leak_covars,0.21577020312867956,-0.0015185991266690735,0.9656333501262789
age,abcd,49.0,leak_covars,0.24241968246888163,0.04993988363282442,0.9986527369837895
mr,hbn,98.0,leak_covars,0.2641606573720888,0.037384509291043755,0.9424880533024295
age,abcd,47.0,leak_covars,0.24216977043500562,0.0438237126167641,0.9979510100610621
age,hcpd,13.0,leak_covars,0.7905071203422719,0.6202514472398224,0.9961386225454226
attn,hbn,70.0,leak_covars,0.060883452392889684,-0.10504473779202361,0.9688519064385642
mr,pnc,79.0,leak_covars,0.2391084399897202,0.020670960915507686,0.9830146605384712
mr,hcpd,51.0,leak_covars,0.19600822460324785,-0.015839029069115274,0.9639607165934968
mr,hbn,10.0,leak_covars,0.250101191985924,0.023959182090329656,0.9465829425833654
age,hcpd,6.0,leak_covars,0.7804154952428679,0.6057273233859941,0.9956002303027779
age,hbn,69.0,leak_covars,0.74188621535342,0.5462860356906116,0.9974933526851213
age,pnc,2.0,leak_covars,0.6259753854150232,0.38977961324998567,0.9968171949673271
mr,abcd,66.0,leak_covars,0.24290416878413001,0.05598555652248538,0.994800889624103
mr,hbn,81.0,leak_covars,0.27128407156138307,0.040075610394818106,0.9479310046370862
attn,hcpd,78.0,leak_covars,-0.03360968336994686,-0.1604471015065423,0.9565483990692615
age,abcd,59.0,leak_covars,0.2284127239209944,0.03466727814980941,0.9579729080311893
mr,hbn,99.0,leak_covars,0.2629093961794956,0.038896516806008696,0.9269320730378657
attn,pnc,59.0,leak_covars,-0.024869811553332538,-0.1623502821088909,0.9644909837725457
attn,abcd,68.0,leak_covars,0.11301866772334564,-0.09318042626692602,0.9874381024916484
mr,abcd,18.0,leak_covars,0.24555176775360718,0.0576170773412078,0.9947760120187966
mr,abcd,1.0,leak_covars,0.2521471512057594,0.06104217228418396,0.9945475683156441
mr,hbn,58.0,leak_covars,0.25210625996188973,0.028562853180230663,0.9492229984965145
age,hcpd,54.0,leak_covars,0.7823441933659334,0.6086513492950257,0.9960782078020743
age,hbn,5.0,leak_covars,0.7463700370841996,0.552013669138135,0.9976402890683996
age,pnc,8.0,leak_covars,0.6231058880426559,0.38589727784953465,0.9970096371921505
mr,hcpd,26.0,leak_covars,0.2858612204027727,0.060393866326643786,0.9571134821253733
attn,hcpd,50.0,leak_covars,-0.06495442994354508,-0.1656290715983002,0.9513071076827445
attn,hcpd,42.0,leak_covars,-0.027991557173941497,-0.14891417839474408,0.9553809852045368
age,abcd,45.0,leak_covars,0.24652201952151942,0.048323022950501726,0.9964179287720935
attn,hbn,56.0,leak_covars,-0.023284917298003343,-0.17848230704885348,0.9676139813497885
attn,pnc,51.0,leak_covars,-0.01819843968540679,-0.1599365241923012,0.9728990430531853
age,hbn,46.0,leak_covars,0.7398254896710912,0.5427713676921965,0.9975783956848778
attn,hcpd,87.0,leak_covars,-0.10974296149825197,-0.21203405586004886,0.958203318936498
attn,pnc,73.0,leak_covars,0.00013868831907530148,-0.14446907455391367,0.9389065986024352
age,hcpd,22.0,leak_covars,0.7804611750784434,0.6039951840929989,0.9951941513286844
age,hbn,62.0,leak_covars,0.7522799790925148,0.5599863812339132,0.99674868933587
mr,pnc,70.0,leak_covars,0.25120120569634397,0.03234634653965618,0.98578017416761
mr,hcpd,87.0,leak_covars,0.21074901149428468,-0.0038475154717036997,0.9613729272098123
mr,pnc,43.0,leak_covars,0.2756397369269784,0.05368772153210655,0.9844074327515456
age,hcpd,88.0,leak_covars,0.7966074926786613,0.6276351960367481,0.9947529409249266
age,abcd,75.0,leak_covars,0.2536935152663759,0.04773847323607028,0.9615928293679209
attn,pnc,87.0,leak_covars,0.005638641103736069,-0.14702150357028843,0.971826601453398
attn,hcpd,89.0,leak_covars,-0.04559831794681551,-0.16855832006874727,0.9530662244241833
mr,hbn,91.0,leak_covars,0.2743017337333404,0.0424894204790115,0.947210116773845
